Ano,ID,Camada,Quadrado,Nivel,MateriaPrima,Classe,Morfologia Bordos,Cortex,Localizacao,Espessura,Largura,Comprimento,Talao,Presença Labial,Secção,Acabamento Distal,Perfil,Face dorsal,Padrão,Abrasão,Tipologia Bordeana,Observações
2009,100,B,J14,4,Sílex,Lamela-Proximal,Paralelos,<25%,Lateral,2.71,8.96,,Liso,Não,Trapezoidal,,Torcido,1,Paralelo-Proximal,,,Tablete
2009,2152,B,H18,7,Sílex,Lasca,Paralelos,25-75%,Lateral,6.86,20.38,25.39,Esmagado,Não,Triangular,Natural,Direito,1,Paralelo-Proximal,,76,
2009,739,B,J14,6,Sílex,Lasca,Divergentes,Sem-Cortex,,6.43,25.53,27.84,Liso,Não,Triangular,Natural,Direito,3,Bidireccional-Cruzado,,,
2009,132,B,J14,4,Quartzo,Lasca,Paralelos,Total,,5.45,12.34,18.95,Cortical,Não,Triangular,Natural,Direito,,,,,
2009,99,B,J14,4,Sílex,Lamela-Proximal,Divergentes,Sem-Cortex,,3.32,11.55,,Facetado,Não,Trapezoidal,,Torcido,3,Paralelo-Proximal,,,
2009,761,B,J14,6,Sílex,Lasca-Distal,Irregulares,Sem-Cortex,,2.27,17.08,,,,Triangular,Natural,Direito,2,Paralelo-Proximal,,,
2009,264,B,J14,5,Sílex,Lasca,Paralelos,<25%,Distal,5.84,14.45,28.57,Liso,Não,Trapezoidal,Natural,Direito,4,Paralelo-Proximal,,R,
2009,474,B,J14,5,Sílex,Lasca,Paralelos,Sem-Cortex,,3.7,20.5,22.29,Esmagado,Não,Triangular,Natural,Direito,3,Paralelo-Proximal,,R,
2009,307,B,J14,5,Quartzo,Lasca,Irregulares,Sem-Cortex,,17.85,44.95,35.22,Cortical,Não,Triangular,Natural,Direito,,Não-Indentificável,,,
2009,1821,C,I17,5,Sílex,Lamela,Irregulares,<25%,Lateral,4.15,11.99,27.47,Diedro,Não,Triangular,Natural,Encurvado,2,Paralelo-Proximal,,,
2009,485,C,G17,2,Sílex,Lamela-Distal,Convergentes,Sem-Cortex,,2.95,9.46,,,,Triangular,Natural,Direito,2,Paralelo-Proximal,,,
2009,1655,C,J17,3,Sílex,Lasca-Distal,Paralelos,25-75%,Distal,6.84,28.42,,,,Irregular,Natural,Direito,1,Não-Indentificável,,R,
2009,1832,C,I16,5,Quartzo,Lasca,Paralelos,Sem-Cortex,,8.2,15.84,30.65,Liso,Não,Triangular,Natural,Direito,2,Paralelo-Proximal,,,
2009,977,C,H17,5,Grauvaque,Lasca,Irregulares,25-75%,Lateral-Proximal,10.71,38.77,31.49,Cortical,Não,Triangular,Natural,Direito,2,Não-Indentificável,,,
2009,279,C,H17,2,Sílex,Lasca-Proximal,Irregulares,Sem-Cortex,,2.3,13.51,,Liso,Não,Trapezoidal,,Encurvado,4,Bidireccional-Paralelo,,,
2009,156,C,I17,2,Sílex,Lâmina-Mesial,Paralelos,Sem-Cortex,,3.83,15.8,,,,Triangular,,Direito,2,Não-Indentificável,,,
2009,582,C,H17,3,Sílex,Lasca,Irregulares,Sem-Cortex,,2.39,11.62,20.23,Esmagado,Não,Triangular,Natural,Encurvado,4,Bidireccional-Paralelo,,,
